"rank","Countdown","Spotify"
"818","Message In A Bottle - The Police","Message In A Bottle - Remastered 2003 - The Police"
"819","Ain't My Bitch - Metallica","Ain't My Bitch - Metallica"
"820","Africa - Toto","Africa - Toto"
"821","Satellite - Rise Against","Satellite - Rise Against"
"822","Rebel Rebel - David Bowie","Rebel Rebel - 2016 Remastered Version - David Bowie"
"823","Breed - Nirvana","Breed - Nirvana"
"824","All My Love - Led Zeppelin","All My Love - Led Zeppelin"
"825","White Wedding - Billy Idol","White Wedding - Pt. 1 - Billy Idol"
"826","Tourniquet - Marilyn Manson","Tourniquet - Marilyn Manson"
"827","Fire Water Burn - Bloodhound Gang","Fire Water Burn - Bloodhound Gang"
"828","Song #3 - Stone Sour","Song #3 - Stone Sour"
"829","Always - Bon Jovi","Always - Bon Jovi"
"830","I Only Lie When I Love You - Royal Blood","I Only Lie When I Love You - Royal Blood"
"831","Cruise Control - Headless Chickens","Cruise Control - Headless Chickens"
"832","Out Ta Get Me - Guns N' Roses","Out Ta Get Me - Guns N' Roses"
"833","Angie - The Rolling Stones","Angie - The Rolling Stones"
"834","Black Hearts (On Fire) - Jet","Black Hearts (On Fire) - Jet"
"835","Red Cold River - Breaking Benjamin","Red Cold River - Breaking Benjamin"
"836","Don't Come Around Here - Tom Petty","Don't Come Around Here No More - Tom Petty and the Heartbreakers"
"837","Hangar 18 - Megadeth","Hangar 18 - 2004 Digital Remaster - Megadeth"
"838","Trippin' On A Hole In A Paper Heart - Stone Temple Pilots"," - "
"839","Second Solution - The Living End","Second Solution - The Living End"
"840","Waste A Moment - Kings Of Leon","Waste A Moment - Kings of Leon"
"841","Wind Of Change - Scorpions","Wind Of Change - Scorpions"
"842","Stop Crying Your Heart Out - Oasis","Stop Crying Your Heart Out - Oasis"
"843","Headstrong - Trapt","Headstrong - Trapt"
"844","Dust In The Wind - Kansas","Dust in the Wind - Kansas"
"845","It's Only Rock N Roll (But I Like It) - The Rolling Stones","It's Only Rock'n'Roll (But I Like It) - The Rolling Stones"
"846","Rhinosaur - Soundgarden","Rhinosaur - Soundgarden"
"847","Resolve - Foo Fighters","Resolve - Foo Fighters"
"848","Short Skirt Long Jacket - Cake","Short Skirt / Long Jacket - Cake"
"849","Won't Get Fooled Again - The Who","Won't Get Fooled Again - Original Album Version - The Who"
"850","Lounge Act - Nirvana","Lounge Act - Nirvana"
"851","Oblivion - Mastadon"," - "
"852","Call Me When You're Sober - Evanescence","Call Me When You're Sober - Evanescence"
"853","One In A Million - Guns N' Roses","One In A Million - Guns N' Roses"
"854","Blurry - Puddle Of Mudd","Blurry - Puddle Of Mudd"
"855","Sink The Pink - AC/DC","Sink the Pink - AC/DC"
"856","Black Holes (Solid Ground) - The Blue Stones","Black Holes (Solid Ground) - The Blue Stones"
"857","God Gave Rock N' Roll - Kiss","God Gave Rock 'N' Roll To You II - KISS"
"858","Postres - Highly Suspect","Postres - Highly Suspect"
"859","Smoke Two Joints - Sublime"," - "
"860","We Are The Champions - Queen"," - "
"861","Beers - Deja Voodoo","Beers - Deja Voodoo"
"862","Reverend - Kings Of Leon","Reverend - Kings of Leon"
"863","W.M.A - Pearl Jam","W.M.A. (Remastered) - Pearl Jam"
"864","Asshole - Denis Leary","Asshole - Denis Leary"
"865","Chelsea Dagger - The Fratellis","Chelsea Dagger - The Fratellis"
"866","One Last Breath - Creed","One Last Breath - Creed"
"867","Bloodfeather - Highly Suspect","Bloodfeather - Highly Suspect"
"868","I Miss The Misery - Halestorm","I Miss The Misery - Halestorm"
"869","I Got Id - Pearl Jam","I Got Id (In the Style of Pearl Jam) - Instrumental Only - ProSource Karaoke"
"870","Chemical Heart - Grinspoon","Chemical Heart - Grinspoon"
"871","(You Gotta) Fight For Your Right (To Party) - Beastie Boys"," - "
"872","Still Breathing - Green Day","Still Breathing - Green Day"
"873","Beast Of Burden - The Rolling Stones","Beast Of Burden - Remastered - The Rolling Stones"
"874","All Summer Long - Kid Rock","All Summer Long - Kid Rock"
"875","Rock You Like A Hurricane - Scorpions"," - "
"876","Alligator Skin - Villainy"," - "
"877","I Remember You - Skid Row","I Remember You - Skid Row"
"878","Peaches - The Presidents Of The USA","Peaches (In the Style of the Presidents of the USA) [Karaoke Version] - Ameritz Audio Karaoke"
"879","Everybody Hurts - R.E.M.","Everybody Hurts - R.E.M."
"880","Dead And Bloated - Stone Temple Pilots","Dead & Bloated - Stone Temple Pilots"
"881","Lookin' Out My Backdoor - Creedence Clearwater Revival"," - "
"882","Dam That River - Alice In Chains","Dam That River - Alice In Chains"
"883","Brain Damage/Eclipse - Pink Floyd","Brain Damage / Eclipse - Vitamin String Quartet"
"884","Back Down South - Kings Of Leon","Back Down South - Kings of Leon"
"885","Walk Idiot Walk - The Hives","Walk Idiot Walk - The Hives"
"886","The Other Side - Aerosmith","Dulcimer Stomp/ The Other Side - Aerosmith"
"887","I Hate Everything About You - Three Days Grace","I Hate Everything About You - Three Days Grace"
"888","Chocolate Cake - Crowded House","Chocolate Cake - Crowded House"
"889","Where Do We Go From Here? - Filter","Where Do We Go From Here - Filter"
"890","Maggie May - Rod Stewart","Maggie May - Rod Stewart"
"891","Walkie Talkie Man - Steriogram","Walkie Talkie Man - Steriogram"
"892","Island In The Sun - Weezer","Island In The Sun - Weezer"
"893","She Sells Sanctuary - The Cult","She Sells Sanctuary (2009 Re-master) - The Cult"
"894","Faster Hooves - Head Like A Hole","Faster Hooves - Head Like A Hole"
"895","Psycho Man - Black Sabbath","Psycho Man - Black Sabbath"
"896","Knocked Up - Kings Of Leon","Knocked Up - Kings of Leon"
"897","Sharp Dressed Man - ZZ Top","Sharp Dressed Man - 2008 Remastered Version - ZZ Top"
"898","Enough Space - Foo Fighters","Enough Space - Foo Fighters"
"899","All I Want Is You - U2","All I Want Is You - U2"
"900","Jokers and Fools - Skinny Hobos"," - "
"901","Lets Get Rocked - Def Leppard","Let's Get Rocked - Def Leppard"
"902","Whatever It Takes - Imagine Dragons","Whatever It Takes - Imagine Dragons"
"903","Let The Good Times Roll - The Cars","(Let The) Good Times Roll - The Cars"
"904","Pressure Man - The Feelers","Pressure Man - 2015 Remastered Version - the feelers Malcolm Welsford"
"905","Train Of Consequences - Megadeth"," - "
"906","Tick Tick Boom - The Hives","Tick Tick Boom - The Hives"
"907","Thunder Road - Bruce Springsteen","Thunder Road - Bruce Springsteen"
"908","Everyday's A Saturday - Elemeno P"," - "
"909","Just Breathe - Pearl Jam","Just Breathe - Pearl Jam"
"910","Fell In Love With A Girl - The White Stripes","Fell In Love With A Girl - The White Stripes"
"911","La La Land - Shihad"," - "
"912","Rock 'N' Roll Train - AC/DC","Rock N Roll Train - AC/DC"
"913","Not For You - Pearl Jam","Not for You - Remastered - Pearl Jam"
"914","Breathe In The Air - Pink Floyd","Breathe (In the Air) - Pink Floyd"
"915","Another Time - Villainy","Another TIme - Villainy"
"916","Woman - His Masters Voice"," - "
"917","Jokerman - Bob Dylan"," - "
"918","Pyro - Kings Of Leon","Pyro - Kings of Leon"
"919","Into The Great Wide Open - Tom Petty","Learning To Fly - Tom Petty and the Heartbreakers"
"920","Pumped Up Kicks - Foster The People","Pumped Up Kicks - Foster The People"
"921","You're Crazy - Guns N' Roses","You're Crazy - Guns N' Roses"
"922","Territorial Pissings - Nirvana","Territorial Pissings - Nirvana"
"923","White Room - Cream / Eric Clapton"," - "
"924","The Neverending Sigh - Foo Fighters","The Neverending Sigh - Foo Fighters"
"925","Urutaa - Alien Weaponry","Urutaa - Alien Weaponry"
"926","London Calling - The Clash","London Calling - Remastered - The Clash"
"927","Heart Afire - Prophets Of Rage"," - "
"928","Bullet The Blue Sky - U2","Bullet The Blue Sky - U2"
"929","Claudeland - Highly Suspect","Claudeland - Highly Suspect"
"930","Just What I Needed - The Cars","Just What I Needed - The Cars"
"931","The Devil In I - Slipknot"," - "
"932","Purple Rain - Prince","Purple Rain - Prince"
"933","Dead Sight - Villainy","Safe Passage - Villainy"
"934","Right Now - Van Halen","Right Now - Van Halen"
"935","TalkTalk - A Perfect Circle","TalkTalk - A Perfect Circle"
"936","Have You Ever Seen The Rain - Creedence Clearwater Revival","Have You Ever Seen The Rain? - Creedence Clearwater Revival"
"937","Welcome To Paradise - Green Day","Welcome to Paradise - Green Day"
"938","Of Wolf And Man - Metallica"," - "
"939","Dancing With Myself - Billy Idol","Dancing With Myself - Billy Idol"
"940","All Around The World - Oasis","All Around the World - Oasis"
"941","American Pie - Don McLean","American Pie - Don McLean"
"942","Joyride (Omen) - Chevelle","Joyride (Omen) - Chevelle"
"943","Locked Out - Crowded House","Locked Out - Crowded House"
"944","Scars - Papa Roach","Scars - Papa Roach"
"945","Be Good Johnny - Men At Work"," - "
"946","Lifestyles Of The Rich And The Famous - Good Charlotte","Lifestyles of the Rich & Famous - Good Charlotte"
"947","Welcome To The Family - Avenged Sevenfold","Welcome to the Family - Avenged Sevenfold"
"948","The Mountain Song - Jane's Addiction"," - "
"949","Open Your Eyes - Disturbed"," - "
"950","Alright Now - Free"," - "
"951","Got The Ju - Weta","Got The Ju - Weta"
"952","The World I Know - Collective Soul","The World I Know - Collective Soul"
"953","Throw Your Arms Around Me - Hunters & Collectors","Throw Your Arms Around Me - Hunters & Collectors"
"954","Until It's Gone - Linkin Park","Until It's Gone - Linkin Park"
"955","Bright Lights - Gary Clark Jr."," - "
"956","I Choose - The Offspring","I Choose - The Offspring"
"957","Wicked Game - Stone Sour","Wicked Game - Live Acoustic - Stone Sour"
"958","Desperado - Eagles","Desperado - Remastered - Eagles"
"959","Be My Fire - The Blue Stones"," - "
"960","Baba O' Reilly - The Who"," - "
"961","Don't Forget Your Roots - Six60","Don?t Forget Your Roots - Six60"
"962","Next Year - Foo Fighters","Next Year - Foo Fighters"
"963","Anarchy In The U.K. - Sex Pistols"," - "
"964","Revelry - Kings Of Leon","Revelry - Kings of Leon"
"965","Starman - David Bowie","Starman - 2012 Remastered Version - David Bowie"
"966","Sonnet - The Verve","Sonnet - The Verve"
"967","The Line - Foo Fighters ","The Line - Foo Fighters"
"968","Proud Mary - Creedence Clearwater Revival"," - "
"969","Pure Massacre - Silverchair","Pure Massacre - Remastered - Silverchair"
"970","One Headlight - The Wallflowers","One Headlight - The Wallflowers"
"971","Killer Queen - Queen","Killer Queen - Remastered 2011 - Queen"
"972","Look Like You Know - Royal Blood","Look Like You Know - Royal Blood"
"973","Feed The Machine - Nickelback","Feed The Machine - Nickelback"
"974","You've Got To Hide Your Love Away - Eddie Vedder"," - "
"975","Think You're So Free - Shihad","Think You're So Free - Shihad"
"976","Angel Of Harlem - U2","Angel Of Harlem - U2"
"977","Run For Cover - The Killers","Run For Cover - The Killers"
"978","Can't Get Enough - Supergroove","Can't Get Enough - Supergroove"
"979","Stellar - Incubus","Stellar - Incubus"
"980","Lust For Life - Iggy Pop","The Passenger - Iggy Pop"
"981","Malibu - Hole","Malibu - Hole"
"982","Blood and Thunder - Mastodon","Blood and Thunder - Mastodon"
"983","We Care A Lot - Faith No More","We Care A Lot - Faith No More"
"984","Fire Woman - The Cult","Fire Woman - The Cult"
"985","Can't Do (What I Wanna Do) - Deja Voodoo","Can't Do (What I Wanna Do) - Deja Voodoo"
"986","Long Train Runnin' - The Doobie Brothers","Long Train Runnin' - The Doobie Brothers"
"987","All The Young Fascists - Shihad","All The Young Fascists - Shihad"
"988","Crackerman - Stone Temple Pilots","Crackerman - Stone Temple Pilots"
"989","The Wind Cries Mary - Jimi Hendrix"," - "
"990","Arma...Geddon - Marilyn Manson","Arma-goddamn-motherfuckin-geddon - Marilyn Manson"
"991","Cumbersome - Seven Mary Three"," - "
"992","Dakota - Stereophonics","Dakota - Stereophonics"
"993","Breaking The Law - Judas Priest","Breaking the Law - Judas Priest"
"994","Better Be Home Soon - Crowded House","Better Be Home Soon - Crowded House"
"995","Chasing Cars - Snow Patrol","Chasing Cars - Snow Patrol"
"996","Damage Inc - Metallica","Damage, Inc. - Remastered - Metallica"
"997","Wherever You Will Go - The Calling","Wherever You Will Go - The Calling"
"998","Little Things - Bush","Little Things - Remastered - Bush"
"999","Scorpio Girls - Supergroove","Scorpio Girls - Supergroove"
"1000","Crazy? Yes! Dumb? No! - The Mint Chicks","Crazy? Yes! Dumb? No! - 2016 Remastered - The Mint Chicks"
"1001","Tonight, Tonight - Smashing Pumpkins","Tonight, Tonight - Remastered 2012 - The Smashing Pumpkins"
"1002","Thank God For Girls - Weezer","Thank God For Girls - Weezer"
"1003","Jane Says - Jane's Addiction","Jane Says - Jane's Addiction"
"1004","No Future - Villainy"," - "
"1005","The Final Countdown - Europe","The Final Countdown - Europe"
"1006","Bliss - Muse","Bliss - Muse"
"1007","What's My Scene - Hoodoo Gurus","What's My Scene - 2005 Remaster - Hoodoo Gurus"
"1008","Road Trip - Steriogram"," - "
"1009","Young Cardinals - Alexisonfire","Young Cardinals - Alexisonfire"
"1010","Break On Through - The Doors","Break On Through (To The Other Side) - The Doors"
"1011","Psycho - Muse","Psycho - Muse"
"1012","Us and Them - Pink Floyd","Us and Them - Pink Floyd"
"1013","Wolves Of Winter - Biffy Clyro","Wolves of Winter - Biffy Clyro"
"1014","Let It Go - I Am Giant","Let It Go - I Am Giant"
"1015","Weather With You - Crowded House","Weather With You - Crowded House"
"1016","Duncan - Slim Dusty"," - "
"1017","Africa - Weezer"," - "
"1018","Shimmer - Fuel","Shimmer - Single Version - Fuel"
"1019","Eye Of The Tiger - Survivor","Eye of the Tiger - Survivor"
"1020","Live Forever - Oasis","Live Forever - Remastered - Oasis"
"1021","Bridge Burning - Foo Fighters","Bridge Burning - Foo Fighters"
"1022","We're Not Gonna Take It - Twisted Sister","We're Not Gonna Take It - Twisted Sister"
"1023","Slither - Velvet Revolver","Slither - Velvet Revolver"
"1024","Life Is A Highway - Tom Cochrane","Life Is A Highway - Tom Cochrane"
"1025","She's A Genius - Jet","She's A Genius - Jet"
"1026","Over Now - Alice In Chains","Over Now - Live at the Majestic Theatre, Brooklyn, NY - April 1996 - Alice In Chains"
"1027","A Good Nights Sleep And A Cab Fare Home - The Strypes","A Good Night's Sleep And A Cab Fare Home - The Strypes"
"1028","For What You Burn - Shihad","For What You Burn - Remastered - Shihad"
"1029","Wake Up - The Living End","Wake Up - The Living End"
"1030","Roll On - The Living End","Roll On - The Living End"
"1031","So Far Away - Dire Straits","So Far Away - Full Version - Dire Straits"
"1032","Face To The Floor - Chevelle","Face to the Floor - Chevelle"
"1033","What You Need - INXS","What You Need - INXS"
"1034","Prophets Of Rage - Prophets Of Rage"," - "
"1035","Evidence - Faith No More","Evidence - Faith No More"
"1036","Wait And See - Shihad","Wait And See - Shihad"
"1037","Young Lust - Pink Floyd","Young Lust - Pink Floyd"
"1038","Stupid Girl - Garbage","Stupid Girl - Garbage"
"1039","No Lies - Noiseworks","No Lies - Noiseworks"
"1040","One Arm Scissor - At The Drive-In"," - "
"1041","Hero - Chad Kroeger / Josey Scott"," - "
"1042","Simply Irresistible - Robert Palmer","Simply Irresistible - Robert Palmer"
"1043","By The Sword - Slash/Wolfmother"," - "
"1044","Can't Change Me - Chris Cornell","Can't Change Me - Chris Cornell"
"1045","Working Class Hero - Green Day"," - "
"1046","Wild Hearted Son - The Cult","Wild Hearted Son - The Cult"
"1047","Cover Me - Candlebox","Cover Me - Candlebox"
"1048","Are You Old Enough? - Dragon"," - "
"1049","Bleed The Freak - Alice In Chains","Bleed The Freak - Alice In Chains"
"1050","It's Not My Time - 3 Doors Down","It's Not My Time - 3 Doors Down"
"1051","God Save The Queen - Sex Pistols","God Save The Queen - Sex Pistols"
"1052","Whatever - Oasis"," - "
"1053","Hang Me Up To Dry - Cold War Kids","Hang Me up to Dry - Cold War Kids"
"1054","The River Of Deceit - Mad Season","River Of Deceit - Live at The Moore - Mad Season"
"1055","Stand - R.E.M.","Stand - Remastered - R.E.M."
"1056","Something In Your Mouth - Nickelback","Something In Your Mouth - Nickelback"
"1057","The Lady Don't Mind - Talking Heads","The Lady Don't Mind - 2005 Remastered Version - Talking Heads"
"1058","Savin' Me - Nickelback","Savin' Me - Nickelback"
"1059","Them Bones - Alice In Chains","Them Bones - Alice In Chains"
"1060","Brain Stew - Green Day","Brain Stew - Green Day"
"1061","I Love Rock 'n' Roll - Joan Jett & The Blackhearts","I Love Rock 'N Roll - Joan Jett & The Blackhearts"
"1062","Skin And Bones - Foo Fighters","Skin And Bones - Live - Foo Fighters"
"1063","Make Yourself - Incubus","Drive - Incubus"
"1064","Rusted From The Rain - Billy Talent","Rusted From The Rain - Billy Talent"
"1065","Kick - INXS","Need You Tonight - INXS"
"1066","Again - Lenny Kravitz","Again - Lenny Kravitz"
"1067","Beautiful Day - U2","Beautiful Day - U2"
"1068","First It Giveth - Queens Of The Stone Age","First It Giveth - Queens of the Stone Age"
"1069","Whale - Eight"," - "
"1070","Smooth Criminal - Alien Ant Farm","Smooth Criminal - Alien Ant Farm"
"1071","Hit The Lights - Metallica","Hit The Lights - Remastered - Metallica"
"1072","Ashes To Ashes - David Bowie","Ashes to Ashes - 2017 Remastered Version - David Bowie"
"1073","Communicate - The Feelers","Fishing For Lisa - the feelers"
"1074","Low - Foo Fighters","Low - Foo Fighters"
"1075","The Boys Of Summer - Don Henley","The Boys Of Summer - Don Henley"
"1076","Fiji Baby - Goodshirt","Fiji Baby - Goodshirt"
"1077","Once - Pearl Jam","Once - Pearl Jam"
"1078","The Freshmen - The Verve Pipe","The Freshmen - The Verve Pipe"
"1079","That's The Way I Wanna Rock 'N' Roll - AC/DC","That's the Way I Wanna Rock 'N' Roll - AC/DC"
"1080","New Fang - Them Crooked Vultures","New Fang - Them Crooked Vultures"
"1081","Down On The Corner - Creedence Clearwater Revival","Down On The Corner - Creedence Clearwater Revival"
"1082","The Wolf - Mumford And Sons","The Wolf - Mumford & Sons"
"1083","Porch - Pearl Jam","Porch - Pearl Jam"
"1084","No Surprise - Daughtry","No Surprise - Daughtry"
"1085","You Give Love A Bad Name - Bon Jovi","You Give Love A Bad Name - Bon Jovi"
"1086","Crawl - Kings Of Leon","Crawl - Kings of Leon"
"1087","Sunburn - Fuel","Shimmer - Single Version - Fuel"
"1088","Are You In? - Incubus","Are You In? - Incubus"
"1089","Janie's Got A Gun - Aerosmith","Water Song/Janie's Got A Gun - Aerosmith"
"1090","Loose Change - Royal Blood","Loose Change - Royal Blood"
"1091","Drive - The Cars","Drive - The Cars"
"1092","Aeroplane - Red Hot Chili Peppers","Aeroplane - Red Hot Chili Peppers"
"1093","Kiss This - The Struts","Kiss This - The Struts"
"1094","Bark At The Moon - Ozzy Osbourne","Bark at the Moon - Ozzy Osbourne"
"1095","Float On - Modest Mouse","Float On - Modest Mouse"
"1096","End Over End - Foo Fighters","End Over End - Foo Fighters"
"1097","Going To California - Led Zeppelin","Going To California - Led Zeppelin"
"1098","Happy Hour - Weezer","Happy Hour - Weezer"
"1099","Everything Zen - Bush","Everything Zen - Remastered - Bush"
"1100","Gasoline - Audioslave","Gasoline - Audioslave"
"1101","Happy Pills - Candlebox","Happy Pills - Candlebox"
"1102","Four Out Of Five - Arctic Monkeys","Four Out Of Five - Arctic Monkeys"
"1103","Highway Star - Deep Purple","Highway Star - Remastered 2012 - Deep Purple"
"1104","Rosanna - Toto","Rosanna - Toto"
"1105","Merchant Of Tirau - Skinny Hobos"," - "
"1106","Devil You Know - DD Smash","Devil You Know - DD Smash"
"1107","Believe In Me - Devilskin","Believe in Me - Devilskin"
"1108","From The Inside - Linkin Park","From The Inside - Linkin Park"
"1109","One Tree Hill - U2","One Tree Hill - U2"
"1110","Oceans - Pearl Jam","Oceans - Pearl Jam"
"1111","My Sacrifice - Creed","My Sacrifice - Creed"
"1112","Falling To Pieces - Faith No More","Falling To Pieces - Faith No More"
"1113","What It Takes - Aerosmith","What It Takes - Aerosmith"
"1114","On Your Own - Dead Favours"," - "
"1115","Bored To Death - Blink 182","Bored To Death - blink-182"
"1116","Blue Lady - Hello Sailor","Blue Lady - Hello Sailor"
"1117","Lump - The Presidents Of The USA","Lump In the Style of The Presidents Of The USA - Sunfly Karaoke"
"1118","Why Don't You Get A Job? - The Offspring","Why Don't You Get A Job - The Offspring"
"1119","California Waiting - Kings Of Leon","California Waiting - Kings of Leon"
"1120","Sophie - Goodshirt","Sophie - Goodshirt"
"1121","Cover Me - Bruce Springsteen","Cover Me - Bruce Springsteen"
"1122","Motel Pool - Racing","Motel Pool - Racing"
"1123","The Passenger - Iggy Pop","The Passenger - Iggy Pop"
"1124","White Noise - The Living End","White Noise - The Living End"
"1125","Who Are You? - The Who","Who Are You - The Who"
"1126","Waffle - Sevendust"," - "
"1127","Edie (Ciao Baby) - The Cult","Edie (Ciao Baby) - The Cult"
"1128","The Call Of Ktulu - Metallica","The Call Of Ktulu - Remastered - Metallica"
"1129","Teenage Dirtbag - Wheatus","Teenage Dirtbag - Wheatus"
"1130","Capital G - Nine Inch Nails","Capital G - Nine Inch Nails"
"1131","Angels Son - Sevendust","Angel's Son - Sevendust"
"1132","No Ordinary Thing - Opshop","No Ordinary Thing - Opshop"
"1133","The Animal - Disturbed","The Animal - Disturbed"
"1134","Maybe - Opshop","Maybe - Opshop"
"1135","Why Can't This Be Love - Van Halen","Why Can't This Be Love - Van Halen"
"1136","Calling On - Weta","Calling On - Weta"
"1137","People Are Strange - The Doors"," - "
"1138","Something In The Way - Nirvana","Something In The Way - Nirvana"
"1139","Black Fingernails, Red Wine - Eskimo Joe","Black Fingernails, Red Wine - Eskimo Joe"
"1140","Lightning Strike - Judas Priest","Lightning Strike - Judas Priest"
"1141","Guilty All The Same - Linkin Park","Guilty All The Same (feat. Rakim) - Linkin Park Rakim"
"1142","From Yesterday - 30 Seconds To Mars"," - "
"1143","Holy Grail - Hunters & Collectors","Holy Grail - Hunters & Collectors"
"1144","Take A Picture - Filter","Take a Picture - Filter"
"1145","Nothing As It Seems - Pearl Jam"," - "
"1146","Atlas, Rise! - Metallica","Atlas, Rise! - Metallica"
"1147","Outlook For Thursday - DD Smash"," - "
"1148","On A Plain - Nirvana","On A Plain - Nirvana"
"1149","Hitchin' A Ride - Green Day","Hitchin' A Ride - Green Day"
"1150","House Of Flies - Minimal Silence"," - "
"1151","School's Out - Alice Cooper","School's Out - Alice Cooper"
"1152","11:57 - Elemeno P"," - "
"1153","You Oughta Know - Alanis Morrisette"," - "
"1154","Girlfriend Is Better - Talking Heads","Girlfriend Is Better - 2005 Remastered Version - Talking Heads"
"1155","The Violence - Rise Against","The Violence - Rise Against"
"1156","Fine Again - Seether","Fine Again - Seether"
"1157","You Can't Always Get What You Want - The Rolling Stones","You Can't Always Get What You Want - The Rolling Stones"
"1158","Sirens - Pearl Jam","Sirens - Pearl Jam"
"1159","Moth Into Flame - Metallica"," - "
"1160","All Over You - Live","All Over You - Live"
"1161","Rockin' In The Free World - Neil Young","Rockin' In The Free World - Neil Young"
"1162","Been Caught Stealing - Jane's Addiction","Been Caught Stealing - Jane's Addiction"
"1163","I Predict A Riot - Kaiser Chiefs","I Predict A Riot - Kaiser Chiefs"
"1164","Yellow - Coldplay","Yellow - Coldplay"
"1165","Great Southern Land - Icehouse","Great Southern Land - ICEHOUSE"
"1166","Fake Tales Of San Francisco - Arctic Monkeys","Fake Tales Of San Francisco - Arctic Monkeys"
"1167","Please Bleed - Ben Harper","Please Bleed - Ben Harper And The Innocent Criminals"
"1168","Run To Paradise - Choir Boys"," - "
"1169","Are You Gonna Be My Girl? - Jet","Are You Gonna Be My Girl? - Jet"
"1170","Going Under - Evanescence","Going Under - Evanescence"
"1171","Beautiful Machine - Shihad","Beautiful Machine - Shihad"
"1172","Teenagers - My Chemical Romance","Teenagers - My Chemical Romance"
"1173","Shine - Collective Soul","Shine - Collective Soul"
"1174","Girl, You'll Be A Woman Soon - Urge Overkill"," - "
"1175","Fvey - Shihad","Think You're So Free - Shihad"
"1176","RIP (Rock In Peace) - AC/DC"," - "
"1177","Mother Mother - Tracy Bonham"," - "
"1178","Secrets - Grinspoon","Secrets - Grinspoon"
"1179","Jump - Van Halen","Jump - 2015 Remastered Version - Van Halen"
"1180","Hats Off To The Bull - Chevelle","Face to the Floor - Chevelle"
"1181","Panama - Van Halen","Panama - 2015 Remastered Version - Van Halen"
"1182","She's Got Issues - The Offspring","She's Got Issues - The Offspring"
"1183","Harmonic Generator - The Datsuns"," - "
"1184","Don't Lose It - The Living End"," - "
"1185","The Hollow - A Perfect Circle","The Hollow - A Perfect Circle"
"1186","My Friends - Red Hot Chili Peppers","My Friends - Red Hot Chili Peppers"
"1187","Jesus Built My Hotrod - Ministry","Jesus Built My Hotrod - Ministry"
"1188","Scooby Snacks - Fun Lovin' Criminals","Scooby Snacks - Fun Lovin' Criminals"
"1189","Elephants - Them Crooked Vultures","Elephants - Them Crooked Vultures"
"1190","One - U2","One - U2"
"1191","Living The Crash - I Am Giant","Living the Crash - I Am Giant"
"1192"," - The Clash","Should I Stay or Should I Go - Remastered - The Clash"
"1193","Feelin' This - Blink 182","Feelin' This (Cover Version) - Thirty Stones"
"1194","Seventh Son Of A Seventh Son - Iron Maiden","Can I Play With Madness - 1998 Remastered Version - Iron Maiden"
"1195","On Call - Kings Of Leon","On Call - Kings of Leon"
"1196","Big Empty - Stone Temple Pilots","Big Empty - Stone Temple Pilots"
"1197","Naive - The Kooks"," - "
"1198","The Evil That Men Do - Iron Maiden","The Evil That Men Do - 1998 Remastered Version - Iron Maiden"
"1199","The Gift - Seether","The Gift - Seether"
"1200","I Shot The Sheriff - Eric Clapton","I Shot The Sheriff - Eric Clapton"
"1201","Faith - Limp Bizkit","Faith - Limp Bizkit"
"1202","Crazy Crazy Nights - Kiss","Crazy Crazy Nights - KISS"
"1203","Hate To Say I Told You - The Hives","Hate To Say I Told You So - The Hives"
"1204","King Of The Mountain - Midnight Oil","King of The Mountain - 2011 Remaster - Midnight Oil"
"1205","1000HP - Godsmack","1000hp - Godsmack"
"1206","Every You, Every Me - Placebo","Every You Every Me - Placebo"
"1207","Welcome To The Fold - Filter","Welcome to the Fold - Filter"
"1208","Nice To Know You - Incubus","Nice to Know You - Incubus"
"1209","Mind Eraser, No Chaser - Them Crooked Vultures","Mind Eraser, No Chaser - Them Crooked Vultures"
"1210","More Than A Feeling - Boston","More Than a Feeling - Boston"
"1211","Blue Walsh - Mastodon","Blue Walsh - Mastodon"
"1212","Foxy Lady - Jimi Hendrix"," - "
"1213","Jumpsuit - Twenty One Pilots","Jumpsuit - Twenty One Pilots"
"1214","I Can't Dance - Genesis","I Can't Dance - 2007 Digital Remaster - Genesis"
"1215","Help - Papa Roach","Help - Papa Roach"
"1216","Remedy - The Black Crowes","Remedy - The Black Crowes"
"1217","Get Loose - The D4","Get Loose - The D4"
"1218","Pepper - Butthole Surfers"," - "
"1219","God Put A Smile Upon Your Face - Coldplay","God Put A Smile Upon Your Face - Coldplay"
"1220","Like A Hurricane - Neil Young","Like a Hurricane - Neil Young"
"1221","Bitter - Shihad","Bitter - Remastered - Shihad"
"1222","Wicked Garden - Stone Temple Pilots","Wicked Garden - Stone Temple Pilots"
"1223","My Immortal - Evanescence","My Immortal - Evanescence"
"1224","Turbo Lover - Judas Priest","Turbo Lover - Judas Priest"
"1225","Polly - Nirvana","Polly - Nirvana"
"1226","Paralyzer - Finger Eleven","Paralyzer - Finger Eleven"
"1227","Love In An Elevator - Aerosmith","Going Down/ Love In An Elevator - Aerosmith"
"1228","Song For No One - Shihad","Song For No One - Shihad"
"1229","Freak - Silverchair","Freak - Silverchair"
"1230","Off He Goes - Pearl Jam","Off He Goes - Pearl Jam"
"1231","Into The Void - Nine Inch Nails","Into The Void - Nine Inch Nails"
"1232","Black Jesus - Everlast","Black Jesus - Everlast"
"1233","Get Free - The Vines","Get Free - The Vines"
"1234","Fire Starter - Prodigy"," - "
